num_comps,dr%,DBI,ARI,completeness,v_measure,homogeneity
141, 0.0, 6.812, 0.3039, 0.3098, 0.3082, 0.3066
136, 3.5461, 6.7345, 0.215, 0.3154, 0.3049, 0.295
131, 7.0922, 6.4682, 0.2134, 0.2353, 0.2189, 0.2045
126, 10.6383, 6.2619, 0.1381, 0.2657, 0.2424, 0.2228
121, 14.1844, 6.346, 0.1472, 0.2392, 0.2187, 0.2015
116, 17.7305, 6.5399, 0.1505, 0.1876, 0.1822, 0.177
111, 21.2766, 4.6834, 0.034, 0.1534, 0.114, 0.0907
106, 24.8227, 5.4615, 0.0482, 0.1146, 0.0927, 0.0779
101, 28.3688, 4.2727, 0.036, 0.1512, 0.1085, 0.0846
96, 31.9149, 2.4109, 0.0033, 0.1843, 0.0888, 0.0585
91, 35.461, 5.9653, 0.1456, 0.1883, 0.1829, 0.1778
86, 39.0071, 4.6096, 0.1045, 0.2533, 0.1991, 0.1641